IV,DV,C,Other
,,,
TIME (SEC),POINTS,FUEL WEIGHT (LBS),M2 max value is set to 1.5 (m2_max)
60,1.2222222222222223,2,
65,1.205128205128205,2,
70,1.1904761904761905,2,
75,1.1777777777777778,2,
80,1.1666666666666667,2,
85,1.156862745098039,2,
90,1.1481481481481481,2,
95,1.1403508771929824,2,
100,1.1333333333333333,2,
105,1.126984126984127,2,
110,1.121212121212121,2,
115,1.1159420289855073,2,
120,1.1111111111111112,2,
125,1.1066666666666667,2,
130,1.1025641025641026,2,
135,1.0987654320987654,2,
140,1.0952380952380953,2,
145,1.0919540229885056,2,
150,1.0888888888888888,2,
155,1.086021505376344,2,
160,1.0833333333333333,2,
165,1.0808080808080809,2,
170,1.0784313725490196,2,
175,1.0761904761904761,2,
180,1.074074074074074,2,
185,1.072072072072072,2,
190,1.0701754385964912,2,
195,1.0683760683760684,2,
200,1.0666666666666667,2,
205,1.065040650406504,2,
210,1.0634920634920635,2,
215,1.062015503875969,2,
220,1.0606060606060606,2,
225,1.0592592592592593,2,
230,1.0579710144927537,2,
235,1.0567375886524824,2,
240,1.0555555555555556,2,
245,1.054421768707483,2,
250,1.0533333333333332,2,
255,1.0522875816993464,2,
260,1.0512820512820513,2,
265,1.050314465408805,2,
270,1.0493827160493827,2,
275,1.0484848484848486,2,
280,1.0476190476190477,2,
285,1.0467836257309941,2,
290,1.0459770114942528,2,
295,1.0451977401129944,2,
60,1.4444444444444444,4,
65,1.4102564102564104,4,
70,1.380952380952381,4,
75,1.3555555555555556,4,
80,1.3333333333333333,4,
85,1.3137254901960784,4,
90,1.2962962962962963,4,
95,1.280701754385965,4,
100,1.2666666666666666,4,
105,1.253968253968254,4,
110,1.2424242424242424,4,
115,1.2318840579710144,4,
120,1.2222222222222223,4,
125,1.2133333333333334,4,
130,1.205128205128205,4,
135,1.1975308641975309,4,
140,1.1904761904761905,4,
145,1.1839080459770115,4,
150,1.1777777777777778,4,
155,1.1720430107526882,4,
160,1.1666666666666667,4,
165,1.1616161616161615,4,
170,1.156862745098039,4,
175,1.1523809523809523,4,
180,1.1481481481481481,4,
185,1.1441441441441442,4,
190,1.1403508771929824,4,
195,1.1367521367521367,4,
200,1.1333333333333333,4,
205,1.1300813008130082,4,
210,1.126984126984127,4,
215,1.124031007751938,4,
220,1.121212121212121,4,
225,1.1185185185185185,4,
230,1.1159420289855073,4,
235,1.1134751773049645,4,
240,1.1111111111111112,4,
245,1.1088435374149659,4,
250,1.1066666666666667,4,
255,1.1045751633986929,4,
260,1.1025641025641026,4,
265,1.10062893081761,4,
270,1.0987654320987654,4,
275,1.096969696969697,4,
280,1.0952380952380953,4,
285,1.0935672514619883,4,
290,1.0919540229885056,4,
295,1.0903954802259888,4,
60,1.6666666666666665,6,
65,1.6153846153846154,6,
70,1.5714285714285714,6,
75,1.5333333333333332,6,
80,1.5,6,
85,1.4705882352941178,6,
90,1.4444444444444444,6,
95,1.4210526315789473,6,
100,1.4,6,
105,1.380952380952381,6,
110,1.3636363636363635,6,
115,1.3478260869565217,6,
120,1.3333333333333333,6,
125,1.32,6,
130,1.3076923076923077,6,
135,1.2962962962962963,6,
140,1.2857142857142856,6,
145,1.2758620689655173,6,
150,1.2666666666666666,6,
155,1.2580645161290323,6,
160,1.25,6,
165,1.2424242424242424,6,
170,1.2352941176470589,6,
175,1.2285714285714286,6,
180,1.2222222222222223,6,
185,1.2162162162162162,6,
190,1.2105263157894737,6,
195,1.205128205128205,6,
200,1.2,6,
205,1.1951219512195121,6,
210,1.1904761904761905,6,
215,1.1860465116279069,6,
220,1.1818181818181819,6,
225,1.1777777777777778,6,
230,1.1739130434782608,6,
235,1.1702127659574468,6,
240,1.1666666666666667,6,
245,1.163265306122449,6,
250,1.16,6,
255,1.156862745098039,6,
260,1.1538461538461537,6,
265,1.150943396226415,6,
270,1.1481481481481481,6,
275,1.1454545454545455,6,
280,1.1428571428571428,6,
285,1.1403508771929824,6,
290,1.1379310344827587,6,
295,1.1355932203389831,6,
60,1.8888888888888888,8,
65,1.8205128205128207,8,
70,1.7619047619047619,8,
75,1.7111111111111112,8,
80,1.6666666666666665,8,
85,1.6274509803921569,8,
90,1.5925925925925926,8,
95,1.5614035087719298,8,
100,1.5333333333333332,8,
105,1.507936507936508,8,
110,1.4848484848484849,8,
115,1.463768115942029,8,
120,1.4444444444444444,8,
125,1.4266666666666667,8,
130,1.4102564102564104,8,
135,1.3950617283950617,8,
140,1.380952380952381,8,
145,1.367816091954023,8,
150,1.3555555555555556,8,
155,1.3440860215053763,8,
160,1.3333333333333333,8,
165,1.3232323232323233,8,
170,1.3137254901960784,8,
175,1.3047619047619048,8,
180,1.2962962962962963,8,
185,1.2882882882882882,8,
190,1.280701754385965,8,
195,1.2735042735042734,8,
200,1.2666666666666666,8,
205,1.2601626016260163,8,
210,1.253968253968254,8,
215,1.248062015503876,8,
220,1.2424242424242424,8,
225,1.237037037037037,8,
230,1.2318840579710144,8,
235,1.226950354609929,8,
240,1.2222222222222223,8,
245,1.217687074829932,8,
250,1.2133333333333334,8,
255,1.2091503267973855,8,
260,1.205128205128205,8,
265,1.20125786163522,8,
270,1.1975308641975309,8,
275,1.1939393939393939,8,
280,1.1904761904761905,8,
285,1.1871345029239766,8,
290,1.1839080459770115,8,
295,1.1807909604519775,8,
60,2,10,
65,2,10,
70,1.9523809523809526,10,
75,1.8888888888888888,10,
80,1.8333333333333335,10,
85,1.784313725490196,10,
90,1.740740740740741,10,
95,1.7017543859649122,10,
100,1.6666666666666665,10,
105,1.6349206349206349,10,
110,1.606060606060606,10,
115,1.5797101449275361,10,
120,1.5555555555555556,10,
125,1.5333333333333332,10,
130,1.5128205128205128,10,
135,1.4938271604938271,10,
140,1.4761904761904763,10,
145,1.4597701149425288,10,
150,1.4444444444444444,10,
155,1.4301075268817205,10,
160,1.4166666666666667,10,
165,1.404040404040404,10,
170,1.392156862745098,10,
175,1.380952380952381,10,
180,1.3703703703703705,10,
185,1.3603603603603605,10,
190,1.3508771929824561,10,
195,1.3418803418803418,10,
200,1.3333333333333333,10,
205,1.3252032520325203,10,
210,1.3174603174603174,10,
215,1.310077519379845,10,
220,1.303030303030303,10,
225,1.2962962962962963,10,
230,1.289855072463768,10,
235,1.2836879432624113,10,
240,1.2777777777777777,10,
245,1.272108843537415,10,
250,1.2666666666666666,10,
255,1.261437908496732,10,
