IV,C,DV,Other
,,,
TIME (SEC),FUEL WEIGHT (LBS),POINTS,M2 max value is set to 1.5 (m2_max)
60,2,1.2222222222222223,
65,2,1.205128205128205,
70,2,1.1904761904761905,
75,2,1.1777777777777778,
80,2,1.1666666666666667,
85,2,1.156862745098039,
90,2,1.1481481481481481,
95,2,1.1403508771929824,
100,2,1.1333333333333333,
105,2,1.126984126984127,
110,2,1.121212121212121,
115,2,1.1159420289855073,
120,2,1.1111111111111112,
125,2,1.1066666666666667,
130,2,1.1025641025641026,
135,2,1.0987654320987654,
140,2,1.0952380952380953,
145,2,1.0919540229885056,
150,2,1.0888888888888888,
155,2,1.086021505376344,
160,2,1.0833333333333333,
165,2,1.0808080808080809,
170,2,1.0784313725490196,
175,2,1.0761904761904761,
180,2,1.074074074074074,
185,2,1.072072072072072,
190,2,1.0701754385964912,
195,2,1.0683760683760684,
200,2,1.0666666666666667,
205,2,1.065040650406504,
210,2,1.0634920634920635,
215,2,1.062015503875969,
220,2,1.0606060606060606,
225,2,1.0592592592592593,
230,2,1.0579710144927537,
235,2,1.0567375886524824,
240,2,1.0555555555555556,
245,2,1.054421768707483,
250,2,1.0533333333333332,
255,2,1.0522875816993464,
260,2,1.0512820512820513,
265,2,1.050314465408805,
270,2,1.0493827160493827,
275,2,1.0484848484848486,
280,2,1.0476190476190477,
285,2,1.0467836257309941,
290,2,1.0459770114942528,
295,2,1.0451977401129944,
60,4,1.4444444444444444,
65,4,1.4102564102564104,
70,4,1.380952380952381,
75,4,1.3555555555555556,
80,4,1.3333333333333333,
85,4,1.3137254901960784,
90,4,1.2962962962962963,
95,4,1.280701754385965,
100,4,1.2666666666666666,
105,4,1.253968253968254,
110,4,1.2424242424242424,
115,4,1.2318840579710144,
120,4,1.2222222222222223,
125,4,1.2133333333333334,
130,4,1.205128205128205,
135,4,1.1975308641975309,
140,4,1.1904761904761905,
145,4,1.1839080459770115,
150,4,1.1777777777777778,
155,4,1.1720430107526882,
160,4,1.1666666666666667,
165,4,1.1616161616161615,
170,4,1.156862745098039,
175,4,1.1523809523809523,
180,4,1.1481481481481481,
185,4,1.1441441441441442,
190,4,1.1403508771929824,
195,4,1.1367521367521367,
200,4,1.1333333333333333,
205,4,1.1300813008130082,
210,4,1.126984126984127,
215,4,1.124031007751938,
220,4,1.121212121212121,
225,4,1.1185185185185185,
230,4,1.1159420289855073,
235,4,1.1134751773049645,
240,4,1.1111111111111112,
245,4,1.1088435374149659,
250,4,1.1066666666666667,
255,4,1.1045751633986929,
260,4,1.1025641025641026,
265,4,1.10062893081761,
270,4,1.0987654320987654,
275,4,1.096969696969697,
280,4,1.0952380952380953,
285,4,1.0935672514619883,
290,4,1.0919540229885056,
295,4,1.0903954802259888,
60,6,1.6666666666666665,
65,6,1.6153846153846154,
70,6,1.5714285714285714,
75,6,1.5333333333333332,
80,6,1.5,
85,6,1.4705882352941178,
90,6,1.4444444444444444,
95,6,1.4210526315789473,
100,6,1.4,
105,6,1.380952380952381,
110,6,1.3636363636363635,
115,6,1.3478260869565217,
120,6,1.3333333333333333,
125,6,1.32,
130,6,1.3076923076923077,
135,6,1.2962962962962963,
140,6,1.2857142857142856,
